RecipeID,recipe_name,recipies,By,Description,RequiredTime,Servings,Ingredients,Directions,Nutritions,Tags,ImageLink,ExtraTags
1,Aamabtvaran recipe - How to make Aamabtvaran,Aamabtvaran,madhuri_a1,"Aamabtvaran is a maharashtrian way of cooking varan or lentils. The tuar dal is cooked, mashed and then simmered in tamarind water. Serve the sour and spicy ambatvaran tempered with mustard seeds, curry leaves and green chillies.",40,4,"1 cup toovar (arhar) dal
1/2 tsp turmeric powder (haldi)
2 tsp chilli powder
1 pinch of asafoetida (hing)
2 tbsp chopped jaggery (gur)
4 bayleaf (tejpatta)
2 tsp coriander (dhania) seeds powder
1 tsp mustard seeds ( rai / sarson)
2 tsp crushed garlic (lehsun)
salt to taste
oil for cooking","Method
Pressure cook the dal with asafoeitda and turmeric powder till soft.
Cool and mash the dal.
Add the chilli powder, tamarind pulp and water to make it of pouring consistency. Keep aside.
Heat the oil in a deep pan and add the mustard seeds.
When the seeds crackle, add the asafoetida, bay leaves and crushed garlic and saute till the garlic turns golden brown in colour.
Add the jaggery and salt, mix well and bring it to boil.
Serve hot garnished with coriander and with rice or chapatis.","{""energy"" : ""N/A"", ""protein"" : ""N/A"", ""carbs"" : ""N/A"", ""fiber"" : ""N/A"", ""fat"" : ""N/A"", ""cholestrol"" : ""N/A"", ""sodium"" : ""N/A""}","['Maharashtrian Dal, Varan / Amti / Kalvan']",https://www.tarladalal.com/images/recipe/addnewphoto.jpg,"['Maharashtrian Dal, Varan / Amti / Kalvan', 'Aamabtvaran recipe - How to make Aamabtvaran']"
2,"Aloo and Kand Rasawala Shaak, Faraal Recipe recipe - How to make Aloo and Kand Rasawala Shaak, Faraal Recipe","Aloo and Kand Rasawala Shaak, Faraal Recipe",Tarla Dalal,"This recipe is a mouth-watering preparation of kand and potatoes in a base of curds, thickened with rajgira flour.

The Aloo and Kand Rasawali Shaak gets its finger-licking flavour and appetizing aroma from green chilli paste and a tempering of cumin seeds. The best part is that you can have this shaak on a fasting day as well.

Do not overcook the kand and potatoes as they might get mushy when continuing to cook with the other ingredients. If you are going to have this recipe later, then add some water and heat a little before serving.

You can try other delicious faraali recipes like the Faraali Pattice and Faraali Dosa .",24,4,"1 cup boiled potato cubes
1 cup steamed purple yam (kand) cubes
3/4 cup curds (dahi)
2 tbsp rajgira flour
salt to taste
1 tbsp oil
1 tsp cumin seeds (jeera)
1 tsp green chilli paste
2 tsp sugar
1 tbsp finely chopped coriander (dhania) , optional","Method
Combine the curds, rajgira flour, salt and 1 cup of water in a deep bowl, whisk well and keep aside.
Heat the oil in a deep non-stick pan, add the cumin seeds and saut� on a medium flame for 30 seconds.
Add the curd-water mixture, potatoes, kand, green chilli paste and sugar, mix gently and cook on a medium flame for 8 minutes, while stirring occasionally.
Add the coriander and mix well.
Serve hot.","{""energy"" : ""157 cal"", ""protein"" : ""2.8 g"", ""carbs"" : ""20.4 g"", ""fiber"" : ""2.2 g"", ""fat"" : ""6.2 g"", ""cholestrol"" : ""6 mg"", ""sodium"" : ""13.1 mg""}","['Gujarati Shaak Sabzi', 'Gujarati Faral, Faraal', 'Maharashtrian Upvas (Fasting)', 'Dinner', 'Sabzis with Gravies', 'Traditional Indian Sabzis', 'Sankashti Chaturthi']","https://www.tarladalal.com/members/9306/big/big_aloo_and_kand_rasawala_shaak,_faraal_recipe-12694.jpg?size=696X905","['Gujarati Shaak Sabzi', 'Gujarati Faral, Faraal', 'Maharashtrian Upvas (Fasting)', 'Dinner', 'Sabzis with Gravies', 'Traditional Indian Sabzis', 'Sankashti Chaturthi', 'Aloo and Kand Rasawala Shaak, Faraal Recipe recipe - How to make Aloo and Kand Rasawala Shaak, Faraal Recipe']"
3,Aloo Chaat ( Mumbai Roadside Recipes ) recipe - How to make Aloo Chaat ( Mumbai Roadside Recipes ),Aloo Chaat ( Mumbai Roadside Recipes ),Tarla Dalal,"aloo chaat recipe | Mumbai roadside aloo chaat | Delhi aloo chaat | with 28 amazing images.

aloo chaat is a popular Mumbai roadside aloo chaat made from baby potatoes, marinated in Indian spices and saut�ed in oil, and topped with moong, sev, curds, garlic chutney, sweet chutney and green chutney. We have added chana dal to aloo chaat which gives a nice crunch.

There are many ways to make aloo chaat recipe and ours is the Mumbai roadside aloo chaat style. In some parts of the country they deep fry the baby potatoes but we have cooked it on a non stick pan. Ours is a easy and quick aloo chaat recipe.

Delhi aloo chaat is made by deep frying the potatoes. We have made Mumbai roadside aloo chaat healthier by boiling the baby potatoes and then cooking it on a non stick pan.

Notes and tips on aloo chaat recipe. 1. To make the Aloo Chaat , we first have to wash and boil the potatoes. For that, wash the baby potatoes under running water till clean. Scrub them with the help of a brush if there is any mud and dirt stuck to it. 2. Add the baby potatoes to the boiling water and cook on a medium flame till the baby potatoes are completely cooked. They should not be very soft or else they will break on cooking. The cooking might take around 18-20 minutes on a medium flame with closed lid. 3. Add the dried mango powder for a pleasant sour (khatta) taste to the marinade. 4. Now add the besan for binding so that the potatoes don�t release water. 5. Mix gently with the help of two spoons and keep aside to marinade for 5 to 7 minutes. This is a very important step as the potatoes need to take on the flavour of the marinade. 6. Cook on a medium flame for 3 to 4 minutes, while stirring occasionally, till they are heated through and get a little browning on them. Once cooked perfectly, you can see all the masalas coat the potatoes very nicely.

We show you in detail how to cook the baby potatoes for aloo chaat. Then comes the preparation of the marinade and cooking of baby potatoes. Finally detailed step by step on how to assemble the aloo chaat recipe.

Delhi aloo chaat has a fan-following of its own, especially in the bitter cold Delhi winter, when its spiciness and warmth rejuvenate the soul.

Planning a chaat party? Check out our collection of exciting recipes of chaat like Moong Dahi Misal, Chole Tikki Chaat and Khasta Kachori Chaat. Also do check out for more recipes of Mumbai Street Foods.

Enjoy how to make Aloo Chaat recipe with detailed step by step photos and video.",14,2,"For The Aloo Chaat Marinated Potatoes
1 1/4 cups boiled , peeled and halved baby potatoes
3 tbsp oil
1 tsp chilli powder
2 tbsp coriander-cumin seeds (dhania-jeera) powder
1/4 tsp turmeric powder (haldi)
2 tsp dried mango powder (amchur)
2 tsp besan (bengal gram flour)
salt to taste
2 tbsp finely chopped coriander (dhania)

Other Ingredients For The Aloo Chaat Recipe
1/2 cup whisked fresh curd (dahi)
2 tsp garlic chutney
4 tsp green chutney
2 tbsp sweet chutney
2 pinches cumin seeds (jeera) powder
2 pinches chilli powder
4 tbsp boiled moong sprouts
4 tsp fried masala chana dal
4 tbsp sev

Garnish For The Aloo Chaat
2 tbsp finely chopped coriander (dhania)","Method
For the aloo chaat marinated potatoes
To make aloo chaat, combine 2 tbsp oil, chilli powder, coriander-cumin seeds powder, turmeric powder, dry mango powder, besan, salt and coriander in a bowl and mix well.
Add the potato halves, mix well and keep aside to marinade for 5 to 7 minutes.
Heat the remaining 1 tbsp oil in a non-stick pan, add the prepared marinated potatoes, mix well and cook on a medium flame for 3 to 4 minutes, while stirring occasionally. Keep aside.

How to proceed to make the aloo chaat
Place � the marinated potatoes in a plate and top with � cup whisked curds, 1 tsp garlic chutney, 2 tsp green chutney, 1 tbsp sweet chutney.
Sprinkle a pinch of cumin seeds powder and chilli powder, 2 tbsp moong sprouts, 2 tsp masala chana dal and 2 tbsp sev.
Repeat steps 1 and 2 to make 1 more plate.
Serve the aloo chaat immediately garnished with coriander.","{""energy"" : ""656 cal"", ""protein"" : ""17.8 g"", ""carbs"" : ""72.7 g"", ""fiber"" : ""12.7 g"", ""fat"" : ""31.7 g"", ""cholestrol"" : ""8 mg"", ""sodium"" : ""65.9 mg""}","['Indian Veg Recipes', 'Mumbai Street Food', 'Chaat', 'Evening Tea Snacks', 'High Tea Party', 'Kitty Party Chaat']",https://www.tarladalal.com/members/9306/big/big_aloo_chaat_(_mumbai_roadside_recipes_)-9998.jpg?size=696X905,"['Indian Veg Recipes', 'Mumbai Street Food', 'Chaat', 'Evening Tea Snacks', 'High Tea Party', 'Kitty Party Chaat', 'Aloo Chaat ( Mumbai Roadside Recipes ) recipe - How to make Aloo Chaat ( Mumbai Roadside Recipes )']"
4,Aloo ki Kadhi Recipe recipe - How to make Aloo ki Kadhi Recipe,Aloo ki Kadhi Recipe,vrunda naik,"Seeking to satiate your appetite on fasting days? A delectable yoghurt kadhi with pakodas made from potatoes and water chestnut flour (singhare ka atta), Aloo ki Kadhi ensures a splash of excitement too.

Enjoy Aloo ki Kadhi with Samo Khichdi and Rajgira Puris. You can also add on other faraali recipes like Mango Shrikhand, Buckwheat Dhokla and Peanut Curd Chutney.",40,4,"For The Pakodas
1/2 kg potatoes , boiled , peeled and smoothly mashed
2 tsp rock salt (sendha namak)
1/4 tsp chilli powder
1/2 cup water chestnut (shingoda) flour
oil for deep frying

For The Aloo Kadhi
1/2 cup sour curds (khatta dahi)
a few curry leaves (kadi patta)
1/2 tsp cumin seeds (jeera)
2 whole dry kashmiri red chillies
1 tbsp chopped ginger (adrak)
1/2 tsp coriander (dhania) powder
4 cups water

Garnish For The Aloo Kadhi
chopped coriander (dhania)","Method
For the pakodas
To make pakodas for the aloo kadhi recipe, combine the potatoes, 1/2 tsp salt, chilli powder and water chestnut flour in a deep bowl into a thick batter.
Put aside 1/4 of the batter to thicken the kadhi.
Heat oil till a drop of batter dropped in comes up at once.
From the remaing 3/4 batter, drop spoonfuls of the batter into oil, lower the flame and fry to a golden colour.
Drain on an absorbent paper and keep aside.

**for the aloo kadhi
To make the aloo kadhi recipe, combine the yoghurt with 1/4 of the pakoda batter kept aside, make a smooth paste and add water.
In a heavy-based pan, reheat 2 tbsp of the same oil, add curry leaves, cumin seeds and whole red chillies. When slightly darkened, add ginger and saute little.
Add the yoghurt mixture, salt and coriander powder and bring to a boil and then simmer over low flame till it thickens a bit, stirring continuously to avoid scorching.
Add the aloo pakoras, simmer for a couple of minutes more and serve the aloo ki kadhi hot, garnished with coriander leaves.","{""energy"" : ""N/A"", ""protein"" : ""N/A"", ""carbs"" : ""N/A"", ""fiber"" : ""N/A"", ""fat"" : ""N/A"", ""cholestrol"" : ""N/A"", ""sodium"" : ""N/A""}","['Gujarati Faral, Faraal', 'Maharashtrian Upvas (Fasting)', 'Kadhi recipes from all across India', 'Mahashivaratri', 'Ekadashi Recipes, Ekadasi', 'Quick Dals / quick Kadhis']",https://www.tarladalal.com/images/recipe/addnewphoto.jpg,"['Gujarati Faral, Faraal', 'Maharashtrian Upvas (Fasting)', 'Kadhi recipes from all across India', 'Mahashivaratri', 'Ekadashi Recipes, Ekadasi', 'Quick Dals / quick Kadhis', 'Aloo ki Kadhi Recipe recipe - How to make Aloo ki Kadhi Recipe']"
5,Alu Bhat recipe - How to make Alu Bhat,Alu Bhat,arathi_receipe,"A vegetable dish which is common in most bengali households, aloo bhath is basically mashed potatoes or aloo which are served with steamed rice. The potatoes or aloo are boiled and mixed with mustard oil and green chillies and then devoured as first course with hot rice.",40,6,"To Be Blended Into A Smooth Paste
1/2 cup chopped mint leaves (phudina)
3 tsp chopped green chillies
1/2 cup chopped coriander (dhania) leaves
2 tsp ginger (adrak)
1/2 cup dessicated coconut

Other Ingredients
2 cups chopped potatoes
3 tbsp oil
6 cloves (laung / lavang)
6 cinnamon (dalchini) sticks
2 tsp turmeric powder (haldi)
4 cups cooked rice (chawal)
2 tsp lemon juice
salt to taste","Method
Heat the oil in a kadai and add cloves, cinamon sticks, turmeric and potatoes and saute till the potatoes become soft.
Remove and keep aside.
In the same oil, add the grounded paste and saute for 5 minutes.
Add the potatoes and mix well.
Add the cooked rice and salt, mix well and add the lemon juice.
Serve hot with raita.","{""energy"" : ""N/A"", ""protein"" : ""N/A"", ""carbs"" : ""N/A"", ""fiber"" : ""N/A"", ""fat"" : ""N/A"", ""cholestrol"" : ""N/A"", ""sodium"" : ""N/A""}","['Gujarati Khichdi', 'Maharashtrian Bhaat (Rice)', 'Traditional Indian Rice Recipes']",https://www.tarladalal.com/images/recipe/addnewphoto.jpg,"['Gujarati Khichdi', 'Maharashtrian Bhaat (Rice)', 'Traditional Indian Rice Recipes', 'Alu Bhat recipe - How to make Alu Bhat']"
6,Amrit Modak recipe - How to make Amrit Modak,Amrit Modak,Tarla Dalal,"Wish to get into Lord Ganesha�s good books? Look no further. The Amrit Modak is inarguably his favourite food! Widely made during Ganesh Utsav, this delicious sweet treat is made using mawa, sugar and kesar.

The tinge of saffron is quite noticeable and hence this is also called the Kesar Modak. Apart from the luxuriant flavour and melt-in-the-mouth texture, another striking feature of these modaks is the crunchy pistachio stuffing, which packs a punch of excitement into each bite!

Much loved by young and old alike, the Amrit Modak is a good addition to any festive menu, not just Ganesh Utsav. Give it a try right away, because every day brings with it a new reason to celebrate life.

Also do try other Indian sweets using mawa like Mawa Kachori, Mawa Peda, Coconut Barfi or Mawa Kesar Roll.",20,8,"For Amrit Modak
1 cup grated mawa (khoya)
1/4 cup powdered sugar
1/4 tsp cardamom (elaichi) powder
1/4 cup blanched , peeled and chopped pistachios
a few saffron (kesar) strands
ghee to grease the modak moulds","Method
Combine the khoya and powdered sugar in a heavy bottomed pan and cook on a slow flame, stirring continuously till the sugar has dissolved and the moisture has evaporated (approximately 5 to 10 minutes).
Remove from the flame, add the cardamom powder and mix well. Allow it to cool completely.
Divide the mixture into two portions, 2/3 and 1/3.
Add the pistachios to the 1/3 mixture, and mix well.
Add the saffron to the 2/3 mixture, and mix well.
Divide the pistachio mixture into 8 equal portions. Shape into even sized rounds.
Divide the saffron mixture into 8 equal portions and shape into even sized rounds.
Stuff each saffron round with the pistachio round and seal the edges completely and give the shape of modak or use a modak mould to press into desired shape.
Tips
Handy Tip: Modak Moulds are available in the market and all ou have to do is stuff it with the modak mixture and demould. Do remember to grease the modak mould before use.","{""energy"" : ""117 cal"", ""protein"" : ""4.4 g"", ""carbs"" : ""9.6 g"", ""fiber"" : ""0.1 g"", ""fat"" : ""6.8 g"", ""cholestrol"" : ""0 mg"", ""sodium"" : ""0 mg""}","['Maharashtrian Sweet Dishes', 'Dry Fruit Flavours', 'Traditional Indian Mithai', 'Diwali', 'Diwali Sweets Mithai']",https://www.tarladalal.com/members/9306/big/big_amrit_modak-8736.jpg?size=696X905,"['Maharashtrian Sweet Dishes', 'Dry Fruit Flavours', 'Traditional Indian Mithai', 'Diwali', 'Diwali Sweets Mithai', 'Amrit Modak recipe - How to make Amrit Modak']"
7,"Anarsa, Maharashtrian Snack recipe - How to make Anarsa, Maharashtrian Snack","Anarsa, Maharashtrian Snack",simplyme!,"Anarsa is an authentic maharashtrian snack especially prepared on festive occasions like Ganesh Chaturthi, Diwali , etc. A combination of rice , jaggery and white poppy seeds tastes really nice.",20,5,"1 cup rice (chawal)
1 cup grated jaggery (gur)
1 tsp ghee
poppy seeds (khus-khus) for sprinkling
ghee for deep frying","Method
Clean, wash and soak the rice in enough water for 3 days, changing the water every day.
On the fourth day , drain and spread them on a cloth to dry them completely.
Blend in a mixer to a smooth powder.
Add the jaggery and 1 tsp ghee in the rice flour, mix well and knead into a hard dough without adding water.
Cover and keep in an air-tight container for 7 days.
Divide the dough into 7 equal portions and shape them into small round flat balls.
Spread the poppy seeds on a clean dry surface roll out each portion into a small puri on the surface of poppy seeds.
Heat the ghee in a kadhai and deep fry the puris till they turn golden brown and crisp.
Drain on an absorbent paper and serve.","{""energy"" : ""N/A"", ""protein"" : ""N/A"", ""carbs"" : ""N/A"", ""fiber"" : ""N/A"", ""fat"" : ""N/A"", ""cholestrol"" : ""N/A"", ""sodium"" : ""N/A""}","['Maharashtrian Bhaji', 'Diwali', 'Ganesh Chaturthi']",https://www.tarladalal.com/images/recipe/addnewphoto.jpg,"['Maharashtrian Bhaji', 'Diwali', 'Ganesh Chaturthi', 'Anarsa, Maharashtrian Snack recipe - How to make Anarsa, Maharashtrian Snack']"
8,Authentic Bombay Pavbhaji recipe - How to make Authentic Bombay Pavbhaji,Authentic Bombay Pavbhaji,Swapnil Thakkar,"A real bombay street side pav bhaji that everyone loves! For that we ll need a large pan with a flat bottom. To make it more tastier, i cook it in noon, when it cools down, put it in fridge and reheat it before dinner, trust me it tastes better this way!",40,2,"1 capsicum , finely chopped
3 tomatoes , finely chopped
4 boiled potatoes
1/2 cup boiled cauliflower florets (optional)
1/2 cup boiled green peas
2 onions , finely chopped
1 green chilly finely chopped
6-7 crushed garlic (lehsun) clove (laung / lavang)
1 tbsp crushed ginger (adrak)
1 tbsp lemon juice
salt to taste
a pinch turmeric powder (haldi)
2 tbsp kashmiri red chilli powder
1-2 tbsp pavbhaji masala
a pinch asafoetida (hing)
1 tsp dried fenugreek leaves (kasuri methi)
butter to cook
chopped coriander (dhania) for garnishing","Method
Take large flat bottom pan and heat it.
Add the capsicum, add little water and let cook on medium high flame.
Keep on adding little water at time if needed.
When they softens, add the tomatoes and keep on mixing and pressing them with help of a masher.
Keep adding little water time to time.
When both gets combined and are cooked well, add the boiled and mashed potato, cauliflower and green peas, mix well and cook using potato masher, adding little water.
Add a tbsp of butter, salt, turmeric, chilli powder and 1/2 to 1 tablespoon pavbhaji masala and mix well with crusher.
In a different small pan heat 1 tbsp butter, add the onions and saute for a minute.
Add the green chillies, ginger and garlic and saute them for one more minute.
Add the asafoetida, kasoori methi, chilli powder, pavbhaji masala, a handful of coriander and little water and cook for 2 more minutes.
Add this to the pan in which vegetables are cooking.
Mix everything very well, add water if required and simmer the bhaji for 5 more minutes.
Again add 1 tbsp butter, one tsp lemon juice, coriander and salt and mix well.
Serve ho garnished with coriander and chopped onions.","{""energy"" : ""N/A"", ""protein"" : ""N/A"", ""carbs"" : ""N/A"", ""fiber"" : ""N/A"", ""fat"" : ""N/A"", ""cholestrol"" : ""N/A"", ""sodium"" : ""N/A""}","['Maharashtrian Bhaji', 'One Meal Dinner', 'Saute', 'Indian Tawa', 'Tava', 'Pan']",https://www.tarladalal.com/members/623575/big/big_authentic_bombay_pavbhaji-8.jpg?size=500X375,"['Maharashtrian Bhaji', 'One Meal Dinner', 'Saute', 'Indian Tawa', 'Tava', 'Pan', 'Authentic Bombay Pavbhaji recipe - How to make Authentic Bombay Pavbhaji']"
9,Baingan Bhaat recipe - How to make Baingan Bhaat,Baingan Bhaat,arati,Lovely recipe of rice and brinjal with no oil. A very healthy recipe.,30,1,"1 1/2 cups horizontally sliced brinjals (baingan / eggplant)
1 cup long grained rice (basmati)
1/2 tsp mustard seeds ( rai / sarson)
1/2 tsp cumin seeds (jeera)
3 cardamoms (elaichi)
1/2 "" piece of cinnamon (dalchini)
5 cloves (laung / lavang)
1/2 tsp fenugreek (methi) seeds
2 green chillies, slit
5 curry leaves (kadi patta)
1/4 tsp asafoetida (hing)
1/2 tsp turmeric powder (haldi)
1/2 tsp chilli powder
salt to taste

To be ground into a spice powder
2 cloves (laung / lavang), roasted
1/2 "" piece of cinnamon (dalchini)
1 tsp coriander (dhania) seeds, roasted
1 tsp cumin seeds (jeera), roasted
1 tsp caraway seeds (shahjeera)
2 tbsp sesame seeds (til)
For the garnish
2 tbsp chopped coriander (dhania)","Method

Wash and soak the rice for about 10 minutes. drain and keep aside.
Combine all the ingredients including the spice powder in a pressure cooker.
Add 2� cups of warm water and pressure cook for 2 whistles.
Allow the steam to escape before opening. separate each grain of rice lightly with fork.
Serve hot garnished with coriander.","{""energy"" : ""N/A"", ""protein"" : ""N/A"", ""carbs"" : ""N/A"", ""fiber"" : ""N/A"", ""fat"" : ""N/A"", ""cholestrol"" : ""N/A"", ""sodium"" : ""N/A""}","['Gujarati Khichdi', 'Maharashtrian Bhaat (Rice)', 'Traditional Indian Rice Recipes']",https://www.tarladalal.com/images/recipe/addnewphoto.jpg,"['Gujarati Khichdi', 'Maharashtrian Bhaat (Rice)', 'Traditional Indian Rice Recipes', 'Baingan Bhaat recipe - How to make Baingan Bhaat']"
10,Baitha Varan recipe - How to make Baitha Varan,Baitha Varan,Tarla Dalal,"The green paste gives this otherwise simple dish a complete makeover! It increases the vitamin A content, while the vegetables add fibre. Vitamin A increases immunity and also nourishes our skin and improves vision. Despite the interesting flavour and health benefits, this dish is surprisingly easy to make!",30,4,"3/4 cup toovar (arhar) dal
1/4 tsp turmeric powder (haldi)
salt to taste
1/4 tsp asafoetida (hing)
1/2 tsp roasted cumin seeds (jeera) powder
1 1/2 cups boiled mixed vegetables (carrot , cauliflower , potatoes , onions etc.)
1/2 cup green paste
2 tsp sugar
2 tsp lemon juice
1/4 cup finely chopped coriander (dhania) for the garnish","Method
Clean, wash and soak the toovar dal in water for 2 to 3 hours. Drain and keep aside.
Combine the dal, turmeric powder, salt and 1� cups of water and pressure cook for 2 whistles.
Allow the steam to escape before opening the lid and whisk the dal.
Add the asafoetida, cumin seeds powder, mixed vegetables, green paste and sugar and mix well. Simmer for 6 to 8 minutes.
Just before serving, add the lemon juice and serve hot garnished with coriander.","{""energy"" : ""164 cal"", ""protein"" : ""10 g"", ""carbs"" : ""29.3 g"", ""fiber"" : ""7.4 g"", ""fat"" : ""0.8 g"", ""cholestrol"" : ""0 mg"", ""sodium"" : ""32.8 mg""}","['Maharashtrian Dal, Varan / Amti / Kalvan', 'Popular Dals from all over India', 'Low Calorie Dals, Low Calorie Kadhis', 'Indian Pressure Cooker', 'Boiled', 'Pressure Cooker Vegetables', 'Non-stick Pan']",https://www.tarladalal.com/members/9306/big/big_baitha_varan-7239.jpg?size=500X650,"['Maharashtrian Dal, Varan / Amti / Kalvan', 'Popular Dals from all over India', 'Low Calorie Dals, Low Calorie Kadhis', 'Indian Pressure Cooker', 'Boiled', 'Pressure Cooker Vegetables', 'Non-stick Pan', 'Baitha Varan recipe - How to make Baitha Varan']"
