RecipeID,recipies,RequiredTime,Ingredients,Description
1,Aamabtvaran,40,"1 cup toovar (arhar) dal
1/2 tsp turmeric powder (haldi)
2 tsp chilli powder
1 pinch of asafoetida (hing)
2 tbsp chopped jaggery (gur)
4 bayleaf (tejpatta)
2 tsp coriander (dhania) seeds powder
1 tsp mustard seeds ( rai / sarson)
2 tsp crushed garlic (lehsun)
salt to taste
oil for cooking","Aamabtvaran is a maharashtrian way of cooking varan or lentils. The tuar dal is cooked, mashed and then simmered in tamarind water. Serve the sour and spicy ambatvaran tempered with mustard seeds, curry leaves and green chillies."
2,"Aloo and Kand Rasawala Shaak, Faraal Recipe",24,"1 cup boiled potato cubes
1 cup steamed purple yam (kand) cubes
3/4 cup curds (dahi)
2 tbsp rajgira flour
salt to taste
1 tbsp oil
1 tsp cumin seeds (jeera)
1 tsp green chilli paste
2 tsp sugar
1 tbsp finely chopped coriander (dhania) , optional","This recipe is a mouth-watering preparation of kand and potatoes in a base of curds, thickened with rajgira flour.

The Aloo and Kand Rasawali Shaak gets its finger-licking flavour and appetizing aroma from green chilli paste and a tempering of cumin seeds. The best part is that you can have this shaak on a fasting day as well.

Do not overcook the kand and potatoes as they might get mushy when continuing to cook with the other ingredients. If you are going to have this recipe later, then add some water and heat a little before serving.

You can try other delicious faraali recipes like the Faraali Pattice and Faraali Dosa ."
3,Aloo Chaat ( Mumbai Roadside Recipes ),14,"For The Aloo Chaat Marinated Potatoes
1 1/4 cups boiled , peeled and halved baby potatoes
3 tbsp oil
1 tsp chilli powder
2 tbsp coriander-cumin seeds (dhania-jeera) powder
1/4 tsp turmeric powder (haldi)
2 tsp dried mango powder (amchur)
2 tsp besan (bengal gram flour)
salt to taste
2 tbsp finely chopped coriander (dhania)

Other Ingredients For The Aloo Chaat Recipe
1/2 cup whisked fresh curd (dahi)
2 tsp garlic chutney
4 tsp green chutney
2 tbsp sweet chutney
2 pinches cumin seeds (jeera) powder
2 pinches chilli powder
4 tbsp boiled moong sprouts
4 tsp fried masala chana dal
4 tbsp sev

Garnish For The Aloo Chaat
2 tbsp finely chopped coriander (dhania)","aloo chaat recipe | Mumbai roadside aloo chaat | Delhi aloo chaat | with 28 amazing images.

aloo chaat is a popular Mumbai roadside aloo chaat made from baby potatoes, marinated in Indian spices and saut�ed in oil, and topped with moong, sev, curds, garlic chutney, sweet chutney and green chutney. We have added chana dal to aloo chaat which gives a nice crunch.

There are many ways to make aloo chaat recipe and ours is the Mumbai roadside aloo chaat style. In some parts of the country they deep fry the baby potatoes but we have cooked it on a non stick pan. Ours is a easy and quick aloo chaat recipe.

Delhi aloo chaat is made by deep frying the potatoes. We have made Mumbai roadside aloo chaat healthier by boiling the baby potatoes and then cooking it on a non stick pan.

Notes and tips on aloo chaat recipe. 1. To make the Aloo Chaat , we first have to wash and boil the potatoes. For that, wash the baby potatoes under running water till clean. Scrub them with the help of a brush if there is any mud and dirt stuck to it. 2. Add the baby potatoes to the boiling water and cook on a medium flame till the baby potatoes are completely cooked. They should not be very soft or else they will break on cooking. The cooking might take around 18-20 minutes on a medium flame with closed lid. 3. Add the dried mango powder for a pleasant sour (khatta) taste to the marinade. 4. Now add the besan for binding so that the potatoes don�t release water. 5. Mix gently with the help of two spoons and keep aside to marinade for 5 to 7 minutes. This is a very important step as the potatoes need to take on the flavour of the marinade. 6. Cook on a medium flame for 3 to 4 minutes, while stirring occasionally, till they are heated through and get a little browning on them. Once cooked perfectly, you can see all the masalas coat the potatoes very nicely.

We show you in detail how to cook the baby potatoes for aloo chaat. Then comes the preparation of the marinade and cooking of baby potatoes. Finally detailed step by step on how to assemble the aloo chaat recipe.

Delhi aloo chaat has a fan-following of its own, especially in the bitter cold Delhi winter, when its spiciness and warmth rejuvenate the soul.

Planning a chaat party? Check out our collection of exciting recipes of chaat like Moong Dahi Misal, Chole Tikki Chaat and Khasta Kachori Chaat. Also do check out for more recipes of Mumbai Street Foods.

Enjoy how to make Aloo Chaat recipe with detailed step by step photos and video."
4,Aloo ki Kadhi Recipe,40,"For The Pakodas
1/2 kg potatoes , boiled , peeled and smoothly mashed
2 tsp rock salt (sendha namak)
1/4 tsp chilli powder
1/2 cup water chestnut (shingoda) flour
oil for deep frying

For The Aloo Kadhi
1/2 cup sour curds (khatta dahi)
a few curry leaves (kadi patta)
1/2 tsp cumin seeds (jeera)
2 whole dry kashmiri red chillies
1 tbsp chopped ginger (adrak)
1/2 tsp coriander (dhania) powder
4 cups water

Garnish For The Aloo Kadhi
chopped coriander (dhania)","Seeking to satiate your appetite on fasting days? A delectable yoghurt kadhi with pakodas made from potatoes and water chestnut flour (singhare ka atta), Aloo ki Kadhi ensures a splash of excitement too.

Enjoy Aloo ki Kadhi with Samo Khichdi and Rajgira Puris. You can also add on other faraali recipes like Mango Shrikhand, Buckwheat Dhokla and Peanut Curd Chutney."
5,Alu Bhat,40,"To Be Blended Into A Smooth Paste
1/2 cup chopped mint leaves (phudina)
3 tsp chopped green chillies
1/2 cup chopped coriander (dhania) leaves
2 tsp ginger (adrak)
1/2 cup dessicated coconut

Other Ingredients
2 cups chopped potatoes
3 tbsp oil
6 cloves (laung / lavang)
6 cinnamon (dalchini) sticks
2 tsp turmeric powder (haldi)
4 cups cooked rice (chawal)
2 tsp lemon juice
salt to taste","A vegetable dish which is common in most bengali households, aloo bhath is basically mashed potatoes or aloo which are served with steamed rice. The potatoes or aloo are boiled and mixed with mustard oil and green chillies and then devoured as first course with hot rice."
6,Amrit Modak,20,"For Amrit Modak
1 cup grated mawa (khoya)
1/4 cup powdered sugar
1/4 tsp cardamom (elaichi) powder
1/4 cup blanched , peeled and chopped pistachios
a few saffron (kesar) strands
ghee to grease the modak moulds","Wish to get into Lord Ganesha�s good books? Look no further. The Amrit Modak is inarguably his favourite food! Widely made during Ganesh Utsav, this delicious sweet treat is made using mawa, sugar and kesar.

The tinge of saffron is quite noticeable and hence this is also called the Kesar Modak. Apart from the luxuriant flavour and melt-in-the-mouth texture, another striking feature of these modaks is the crunchy pistachio stuffing, which packs a punch of excitement into each bite!

Much loved by young and old alike, the Amrit Modak is a good addition to any festive menu, not just Ganesh Utsav. Give it a try right away, because every day brings with it a new reason to celebrate life.

Also do try other Indian sweets using mawa like Mawa Kachori, Mawa Peda, Coconut Barfi or Mawa Kesar Roll."
7,"Anarsa, Maharashtrian Snack",20,"1 cup rice (chawal)
1 cup grated jaggery (gur)
1 tsp ghee
poppy seeds (khus-khus) for sprinkling
ghee for deep frying","Anarsa is an authentic maharashtrian snack especially prepared on festive occasions like Ganesh Chaturthi, Diwali , etc. A combination of rice , jaggery and white poppy seeds tastes really nice."
8,Authentic Bombay Pavbhaji,40,"1 capsicum , finely chopped
3 tomatoes , finely chopped
4 boiled potatoes
1/2 cup boiled cauliflower florets (optional)
1/2 cup boiled green peas
2 onions , finely chopped
1 green chilly finely chopped
6-7 crushed garlic (lehsun) clove (laung / lavang)
1 tbsp crushed ginger (adrak)
1 tbsp lemon juice
salt to taste
a pinch turmeric powder (haldi)
2 tbsp kashmiri red chilli powder
1-2 tbsp pavbhaji masala
a pinch asafoetida (hing)
1 tsp dried fenugreek leaves (kasuri methi)
butter to cook
chopped coriander (dhania) for garnishing","A real bombay street side pav bhaji that everyone loves! For that we ll need a large pan with a flat bottom. To make it more tastier, i cook it in noon, when it cools down, put it in fridge and reheat it before dinner, trust me it tastes better this way!"
9,Baingan Bhaat,30,"1 1/2 cups horizontally sliced brinjals (baingan / eggplant)
1 cup long grained rice (basmati)
1/2 tsp mustard seeds ( rai / sarson)
1/2 tsp cumin seeds (jeera)
3 cardamoms (elaichi)
1/2 "" piece of cinnamon (dalchini)
5 cloves (laung / lavang)
1/2 tsp fenugreek (methi) seeds
2 green chillies, slit
5 curry leaves (kadi patta)
1/4 tsp asafoetida (hing)
1/2 tsp turmeric powder (haldi)
1/2 tsp chilli powder
salt to taste

To be ground into a spice powder
2 cloves (laung / lavang), roasted
1/2 "" piece of cinnamon (dalchini)
1 tsp coriander (dhania) seeds, roasted
1 tsp cumin seeds (jeera), roasted
1 tsp caraway seeds (shahjeera)
2 tbsp sesame seeds (til)
For the garnish
2 tbsp chopped coriander (dhania)",Lovely recipe of rice and brinjal with no oil. A very healthy recipe.
10,Baitha Varan,30,"3/4 cup toovar (arhar) dal
1/4 tsp turmeric powder (haldi)
salt to taste
1/4 tsp asafoetida (hing)
1/2 tsp roasted cumin seeds (jeera) powder
1 1/2 cups boiled mixed vegetables (carrot , cauliflower , potatoes , onions etc.)
1/2 cup green paste
2 tsp sugar
2 tsp lemon juice
1/4 cup finely chopped coriander (dhania) for the garnish","The green paste gives this otherwise simple dish a complete makeover! It increases the vitamin A content, while the vegetables add fibre. Vitamin A increases immunity and also nourishes our skin and improves vision. Despite the interesting flavour and health benefits, this dish is surprisingly easy to make!"
